Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1978,0.48,0.38,0.03,-0.08,-0.06,-0.33,-0.25,-0.37,-0.45,-0.31,-0.16,-0.1
1979,0.18,0.3,0.22,0.07,-0.13,-0.15,-0.06,-0.13,-0.15,0.02,0.06,0.5
1980,0.44,0.6,0.4,0.3,0.35,0.24,0.17,-0.09,-0.1,0.1,0.27,0.13
1981,-0.11,-0.03,0.18,-0.08,-0.05,-0.28,-0.42,-0.31,-0.17,-0.13,-0.11,0.1
1982,-0.13,-0.06,0.18,0.37,0.52,0.62,0.22,0.26,0.38,0.85,0.62,0.66
1983,0.76,0.73,0.52,0.26,0.29,0.03,-0.34,-0.36,-0.64,-0.86,-0.89,-0.68
1984,-0.7,-0.65,-0.76,-0.85,-0.85,-0.78,-0.51,-0.57,-0.34,-0.7,-0.91,-1.11
1985,-0.53,-0.6,-0.78,-0.84,-0.75,-0.74,-0.43,-0.3,-0.3,-0.28,-0.17,-0.08
1986,-0.37,-0.23,-0.33,-0.27,-0.22,0.05,0.15,0.32,0.49,0.56,0.66,0.58
1987,0.6,0.8,0.86,0.52,0.56,0.76,0.68,0.71,0.83,0.94,1.01,0.94
1988,0.67,0.44,0.31,-0.26,-0.58,-0.77,-0.92,-0.89,-1.03,-1.58,-1.65,-1.59
1989,-1.61,-1.36,-1.25,-0.97,-0.74,-0.84,-0.58,-0.61,-0.38,-0.38,-0.27,0.1
1990,0.23,0.43,0.45,0.29,0.24,0.1,0.27,0.35,0.26,0.42,0.37,0.64
1991,0.66,0.6,0.43,0.55,0.56,0.58,0.5,0.51,0.31,0.72,0.7,0.82
1992,0.65,0.88,0.86,0.76,0.72,0.38,0.38,0.15,0.11,0.02,0.11,0.29
1993,0.47,0.47,0.37,0.52,0.52,0.41,0.38,0.31,0.38,0.32,0.43,0.37
1994,0.19,0.03,0.11,0.25,0.27,0.37,0.59,0.79,0.58,0.79,0.94,0.91
1995,0.91,0.9,0.82,0.55,0.49,0.43,0.25,0.04,-0.09,-0.28,-0.3,-0.24
1996,-0.35,-0.31,-0.2,-0.18,-0.22,-0.04,-0.18,-0.28,-0.26,-0.19,-0.08,0.03
1997,0.1,0.19,0.2,0.53,0.67,0.53,0.71,0.76,0.86,0.83,0.94,0.78
1998,0.91,0.85,0.51,0.23,0.19,-0.27,-0.45,-0.64,-0.7,-1.02,-1.1,-1.24
1999,-1.5,-1.43,-1.02,-0.88,-0.84,-0.78,-0.82,-0.92,-0.76,-0.84,-1.05,-1.2
2000,-1.35,-1.38,-1.34,-1.1,-0.92,-0.67,-0.58,-0.44,-0.4,-0.48,-0.52,-0.8
2001,-0.82,-0.77,-0.61,-0.33,-0.23,-0.05,0.17,0.21,0.29,0.16,0.16,0.01
2002,0.27,0.25,0.26,0.37,0.37,0.59,0.59,0.62,0.62,0.8,0.95,0.84
2003,0.71,0.69,0.65,0.42,0.09,0.19,0.25,0.22,0.26,0.49,0.55,0.41
2004,0.4,0.32,0.08,0.23,0.29,0.3,0.49,0.55,0.72,0.75,0.73,0.75
2005,0.82,0.6,0.51,0.37,0.28,0.24,0.1,0.1,0.1,0.09,-0.04,-0.25
2006,-0.54,-0.66,-0.48,-0.22,0.0,0.16,0.21,0.45,0.57,0.66,0.76,0.82
2007,0.53,0.35,0.15,0.1,-0.05,0.04,-0.1,-0.17,-0.56,-0.77,-1.11,-1.08
2008,-1.38,-1.46,-1.23,-0.95,-0.85,-0.66,-0.45,-0.37,-0.45,-0.4,-0.52,-0.72
2009,-0.71,-0.52,-0.35,-0.09,0.16,0.34,0.46,0.62,0.59,0.92,1.21,1.31
2010,1.21,0.95,0.9,0.7,0.1,-0.25,-0.61,-1.12,-1.28,-1.4,-1.41,-1.37
2011,-1.38,-1.02,-0.74,-0.69,-0.53,-0.42,-0.47,-0.58,-0.68,-0.75,-0.74,-1.04
2012,-1.01,-0.72,-0.56,-0.32,-0.28,-0.16,-0.06,0.28,0.28,0.33,0.36,0.1
2013,-0.06,-0.15,-0.18,-0.06,-0.06,-0.12,-0.11,0.02,0.0,-0.05,0.16,-0.08
2014,-0.23,0.08,0.27,0.33,0.41,0.39,0.23,0.33,0.47,0.53,0.81,0.71
2015,0.71,0.84,0.76,1.02,0.97,1.05,1.04,1.05,1.12,1.19,1.59,1.51
2016,1.33,1.3,1.15,0.88,0.63,0.45,0.24,0.02,-0.16,-0.38,-0.29,-0.13
2017,-0.13,0.06,-0.05,0.19,0.29,0.34,0.29,0.17,-0.1,-0.1,-0.21,-0.31
2018,-0.31,-0.2,-0.09,0.18,0.29,0.29,0.34,0.46,0.56,0.84,0.81,0.89
2019,0.5,0.67,0.68,0.58,0.65,0.74,0.72,0.54,0.51,0.86,0.88,0.77
2020,0.88,0.82,0.7,0.61,0.18,0.19,0.17,-0.1,-0.28,-0.66,-0.49,-0.68
